sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
GSS284499,129,106,68,303,12,80,61,34,175,9,33,32,12,77,5,8,8,1,17,2,99,76,58,216,8,60,43,30,122,6,25,23,11,56,3,6,4,1,10,1,5,0,3
RD409,128,120,66,314,15,67,73,22,162,9,33,34,12,79,3,7,3,2,12,0,87,84,59,207,10,47,53,20,108,5,23,24,10,53,0,4,3,1,8,0,3,0,3
RD462,128,121,53,302,12,80,60,32,172,6,42,34,18,94,2,12,2,4,18,2,81,78,47,190,9,52,38,28,109,4,26,19,16,56,1,9,1,3,12,1,3,1,3
UDN281599,126,251,337,714,10,84,142,187,413,9,47,63,75,185,4,9,8,6,23,2,90,169,271,487,3,58,94,151,284,3,31,41,62,124,1,4,6,4,13,1,13,0,12
GSS278189,122,118,63,303,4,69,72,30,171,1,26,40,8,74,1,6,6,2,14,0,84,80,54,199,2,48,45,26,111,0,20,27,5,49,0,4,4,2,10,0,0,0,0
UDN537120,120,111,103,334,4,72,71,50,193,3,34,46,24,104,2,6,7,4,17,1,94,79,92,249,3,61,51,44,144,2,29,35,22,80,1,5,5,3,12,0,1,0,1
GSS178187,118,124,82,324,7,80,76,42,198,6,57,43,19,119,3,12,7,1,20,2,91,88,74,230,5,63,51,39,141,4,43,30,17,82,2,10,5,1,15,2,2,0,2
RD413,118,101,56,275,6,64,57,23,144,1,34,40,9,83,1,7,6,1,14,0,78,63,47,177,5,43,38,21,95,1,23,26,8,54,1,7,4,1,12,0,3,1,3
RD439,117,116,29,262,16,63,61,10,134,8,32,26,6,64,6,5,6,1,12,0,81,75,22,169,13,45,43,8,90,5,25,19,5,46,5,5,1,1,7,0,3,1,3
RD463,111,106,30,247,8,75,62,17,154,4,40,35,5,80,3,10,9,1,20,0,72,69,26,152,7,47,39,14,90,3,27,23,2,49,2,7,5,0,12,0,2,0,2
GSS198414,110,125,20,255,4,66,79,8,153,4,37,40,3,80,2,12,11,2,25,0,81,91,17,172,3,49,57,6,101,3,28,30,2,53,1,9,7,1,15,0,1,0,1
UDN064673,109,93,31,233,11,69,51,10,130,5,31,24,6,61,2,9,4,0,13,0,71,63,23,144,10,48,34,6,83,5,20,18,3,38,2,4,3,0,6,0,0,0,0
RD396,108,109,32,249,5,73,73,17,163,4,48,40,6,94,0,16,12,1,29,0,79,64,28,158,3,53,41,15,99,3,33,22,6,53,0,10,6,1,12,0,3,0,3
UDN813682,106,95,45,246,7,70,58,14,142,6,28,30,7,65,6,5,16,1,22,3,80,61,41,165,6,52,40,12,96,5,19,22,7,41,5,4,10,1,12,2,2,0,2
RD147,104,135,39,278,235,55,83,9,147,88,36,42,6,84,17,4,8,2,14,0,72,85,33,177,189,40,53,6,91,68,28,28,4,56,15,4,5,1,10,0,0,12,0
RD406,104,81,40,225,1,55,44,16,115,0,31,17,7,55,0,8,2,0,10,0,75,51,34,146,1,40,31,15,78,0,22,12,6,40,0,4,1,0,5,0,1,0,1
GSS189454,103,87,55,245,5,53,59,18,130,3,30,20,6,56,0,6,4,1,11,0,79,69,45,184,4,42,48,14,99,2,23,18,4,42,0,4,4,0,7,0,2,0,2
RD447,102,96,19,217,16,54,59,9,122,2,27,28,6,61,1,8,9,2,19,0,70,66,14,136,11,35,38,5,71,2,16,19,3,33,1,4,5,1,9,0,2,0,2
RD431,101,98,36,235,20,62,61,11,134,10,28,30,3,61,5,11,11,1,23,2,62,64,29,145,12,35,42,11,81,6,16,18,3,33,4,7,5,1,11,1,1,1,1
RD367,100,89,79,268,11,67,60,25,152,7,39,19,12,70,6,13,10,4,27,5,66,63,67,180,9,44,42,19,93,6,24,15,10,41,5,8,7,4,15,4,3,0,3
RD398,100,82,38,220,9,60,58,20,138,5,29,43,10,82,3,6,10,3,19,2,71,56,33,145,7,45,38,17,87,3,20,26,7,44,1,3,7,2,10,1,2,1,2
UDN377165,99,105,71,275,5,63,59,33,155,4,30,20,5,55,2,3,5,0,8,1,77,72,63,203,5,52,41,29,117,4,24,11,4,36,2,3,2,0,4,1,3,1,3
UDN652612,96,79,19,194,2,50,51,5,106,0,25,33,2,60,0,7,10,0,17,0,71,52,18,129,2,38,28,5,64,0,19,15,2,34,0,5,3,0,8,0,1,0,1
RD387,93,67,36,196,16,65,47,18,130,9,43,29,12,84,4,16,16,3,35,2,54,47,24,113,13,34,32,11,68,7,21,18,6,40,3,9,10,2,17,1,2,1,2
RD391,93,80,19,192,3,50,52,9,111,3,20,24,5,49,3,10,8,2,20,2,56,54,14,113,2,30,33,7,61,2,12,14,3,25,2,6,4,0,8,1,0,0,0
RD380,89,71,344,504,200,65,48,299,412,171,47,34,263,344,140,13,14,181,208,58,59,44,213,297,168,41,30,185,241,146,29,23,160,200,120,7,9,111,120,51,251,150,153
RD390,88,105,44,237,4,55,78,26,159,2,32,35,16,83,0,5,9,8,22,0,60,72,27,147,3,38,53,14,98,1,22,26,6,52,0,3,7,2,12,0,1,0,1
RD422,88,69,25,182,5,44,47,10,101,1,28,36,8,72,1,6,7,0,13,0,57,43,18,107,4,31,29,7,60,1,19,22,5,41,1,4,3,0,5,0,0,0,0
GSS215789,87,92,40,219,6,57,49,22,128,2,40,23,5,68,1,7,4,1,12,1,63,67,36,155,5,42,36,19,91,1,28,18,4,46,1,4,4,1,9,1,3,0,3
RD415,86,70,35,191,8,58,48,18,124,4,31,15,8,54,0,5,4,2,11,0,55,47,25,116,8,34,30,12,72,4,16,8,6,29,0,3,1,2,5,0,0,1,0
