sampleID,All_Genes_Outlier_Status,Psi3_Genes_Outlier_Status,Psi5_Genes_Outlier_Status,Theta_Genes_Outlier_Status,Jaccard_Genes_Outlier_Status,All_Genes_001_Outlier_Status,Psi3_Genes_001_Outlier_Status,Psi5_Genes_001_Outlier_Status,Theta_Genes_001_Outlier_Status,Jaccard_Genes_001_Outlier_Status,All_Genes_01_Outlier_Status,Psi3_Genes_01_Outlier_Status,Psi5_Genes_01_Outlier_Status,Theta_Genes_01_Outlier_Status,Jaccard_Genes_01_Outlier_Status,All_Genes_1e_6_Outlier_Status,Psi3_Genes_1e_6_Outlier_Status,Psi5_Genes_1e_6_Outlier_Status,Theta_Genes_1e_6_Outlier_Status,Jaccard_Genes_1e_6_Outlier_Status,All_Junctions_Outlier_Status,Psi3_Junctions_Outlier_Status,Psi5_Junctions_Outlier_Status,Theta_Junctions_Outlier_Status,Jaccard_Junctions_Outlier_Status,All_Junctions_001_Outlier_Status,Psi3_Junctions_001_Outlier_Status,Psi5_Junctions_001_Outlier_Status,Theta_Junctions_001_Outlier_Status,Jaccard_Junctions_001_Outlier_Status,All_Junctions_01_Outlier_Status,Psi3_Junctions_01_Outlier_Status,Psi5_Junctions_01_Outlier_Status,Theta_Junctions_01_Outlier_Status,Jaccard_Junctions_01_Outlier_Status,All_Junctions_1e_6_Outlier_Status,Psi3_Junctions_1e_6_Outlier_Status,Psi5_Junctions_1e_6_Outlier_Status,Theta_Junctions_1e_6_Outlier_Status,Jaccard_Junctions_1e_6_Outlier_Status,no_MIGs_with_theta_juncs_Outlier_Status
UDN064673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
GSS293969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
GSS215789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
GSS246329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD380,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,NA,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,NA,NA
UDN485673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
UDN998168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RD415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
GSS119197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
