sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
UDN537120,115,116,99,330,3,75,65,51,191,3,34,42,20,96,1,6,8,4,18,1,87,84,87,243,2,62,51,45,146,2,28,33,19,74,0,5,6,3,13,0,2,0,NA
RD409,113,119,65,297,6,65,73,22,160,3,30,34,13,77,2,7,2,2,11,0,78,85,58,200,3,46,53,19,106,0,20,24,10,50,0,4,2,1,7,0,3,0,NA
RD463,111,114,32,257,3,70,63,19,152,3,39,36,5,80,3,10,9,1,20,0,74,74,28,158,2,45,39,15,90,2,27,23,2,49,2,7,5,0,12,0,2,0,NA
UDN281599,109,129,319,557,5,68,69,179,316,4,43,28,63,134,4,4,7,8,19,2,80,90,256,403,1,47,46,145,228,1,30,19,50,95,1,1,4,5,10,1,13,0,NA
GSS198414,107,125,19,251,2,64,77,9,150,1,35,44,5,84,1,12,11,3,26,1,81,90,16,171,1,47,59,7,102,1,26,33,4,56,1,9,7,2,16,1,0,0,NA
RD396,107,111,31,249,3,75,74,16,165,0,50,42,6,98,0,16,14,1,31,0,79,65,27,156,3,55,44,14,103,0,34,24,6,56,0,10,7,1,13,0,3,0,NA
RD406,105,88,42,235,0,55,48,16,119,0,30,18,8,56,0,6,2,0,8,0,77,55,34,152,0,40,34,14,80,0,21,12,6,39,0,3,1,0,4,0,1,0,NA
UDN813682,104,87,45,236,6,64,57,12,133,5,26,36,6,68,5,7,17,1,25,3,77,61,41,160,5,49,40,11,92,4,18,25,6,41,4,4,11,1,13,3,2,0,NA
RD431,102,95,36,233,7,59,52,13,124,5,24,25,4,53,2,11,11,1,23,1,63,64,27,144,4,33,38,11,76,4,15,16,3,31,1,7,5,0,11,1,1,0,NA
UDN652612,99,80,16,195,0,51,53,6,110,0,25,33,1,59,0,7,10,0,17,0,73,53,15,128,0,40,30,6,69,0,19,15,1,33,0,5,3,0,8,0,0,0,NA
GSS189454,98,87,52,237,2,53,59,18,130,0,30,20,6,56,0,5,4,1,10,0,78,71,43,182,1,43,51,14,103,0,24,19,4,44,0,4,4,0,7,0,2,0,NA
RD413,97,99,55,251,1,63,56,21,140,1,30,38,7,75,0,6,5,0,11,0,65,63,45,162,1,42,38,19,93,1,21,24,6,49,0,6,3,0,9,0,3,0,NA
RD447,97,91,17,205,1,47,61,9,117,1,26,23,5,54,0,8,9,1,18,0,68,62,12,129,1,30,40,5,68,1,16,16,2,30,0,4,5,1,9,0,0,0,NA
UDN377165,97,105,65,267,2,62,57,31,150,2,31,22,6,59,1,3,5,0,8,1,76,72,57,196,2,51,39,27,112,2,25,13,5,40,1,3,2,0,4,1,3,0,NA
RD147,96,135,42,273,55,57,88,10,155,16,35,45,6,86,6,8,7,2,17,0,68,86,34,174,45,41,57,7,97,14,28,29,4,57,5,6,5,1,12,0,1,3,NA
RD398,96,81,38,215,4,60,62,22,144,3,31,41,12,84,2,6,11,4,21,0,69,56,34,143,2,45,42,19,93,1,21,27,9,48,1,3,8,3,12,0,2,0,NA
RD367,95,89,68,252,6,63,58,27,148,6,38,20,11,69,6,13,10,4,27,4,66,63,59,172,5,41,40,21,91,5,24,16,9,42,5,9,7,4,16,3,1,0,NA
UDN064673,94,92,27,213,4,60,47,10,117,1,29,21,5,55,0,5,4,0,9,0,65,65,20,137,4,44,33,6,77,1,20,17,2,36,0,3,3,0,6,0,0,0,NA
GSS293969,90,75,10,175,3,44,43,6,93,2,23,26,1,50,2,8,6,0,14,0,61,57,9,115,1,33,33,6,67,1,17,20,1,34,1,5,4,0,8,0,0,0,NA
RD391,88,77,21,186,3,46,45,9,100,2,20,22,5,47,2,11,8,2,21,2,52,57,16,112,2,27,31,7,57,1,12,14,3,25,1,5,4,0,7,1,0,0,NA
RD390,87,107,48,242,2,51,81,31,163,1,31,39,22,92,1,5,9,10,24,0,62,74,28,151,0,36,55,16,100,0,22,26,8,54,0,3,7,2,12,0,1,0,NA
RD422,87,68,20,175,1,43,51,9,103,1,29,33,7,69,0,6,7,0,13,0,57,44,15,105,1,30,31,6,61,1,20,21,5,40,0,4,3,0,5,0,0,0,NA
RD387,86,66,37,189,5,59,41,20,120,4,42,29,14,85,3,13,15,4,32,1,53,47,24,112,4,33,28,12,64,3,21,18,7,41,2,8,9,2,15,1,2,0,NA
GSS215789,85,79,40,204,2,58,49,20,127,1,38,25,4,67,1,7,4,0,11,0,61,57,35,144,1,43,35,18,89,1,27,19,3,45,1,4,4,0,8,0,3,0,NA
GSS246329,84,82,12,178,5,54,52,7,113,5,23,27,6,56,4,6,5,2,13,1,63,60,11,117,3,39,41,6,75,3,19,22,5,41,2,5,3,1,8,1,0,0,NA
RD380,84,79,347,510,147,63,51,301,415,128,44,38,262,344,103,13,15,179,207,44,57,49,214,299,125,40,34,185,244,110,27,24,160,199,91,7,10,111,121,38,252,114,NA
UDN485673,84,79,55,218,2,60,47,25,132,2,28,24,2,54,2,8,10,0,18,1,63,61,48,161,2,45,38,21,97,2,20,18,2,37,2,5,6,0,9,1,2,0,NA
UDN998168,84,79,7,170,2,46,54,6,106,2,26,24,4,54,2,8,4,0,12,0,61,53,6,109,2,36,36,5,68,2,22,16,4,36,2,6,3,0,7,0,0,0,NA
RD538,83,75,43,201,4,35,47,22,104,2,23,29,6,58,0,6,1,0,7,0,62,51,33,139,3,28,33,15,71,2,19,21,4,41,0,4,1,0,5,0,2,0,NA
RD368,82,55,28,165,4,59,30,18,107,4,28,16,13,57,3,11,2,5,18,1,51,39,18,101,3,40,20,10,65,3,18,11,6,33,2,8,1,1,9,1,4,0,NA
RD415,81,68,39,188,3,55,49,21,125,0,29,17,12,58,0,4,4,2,10,0,52,46,28,116,3,33,30,14,73,0,15,8,9,31,0,2,1,2,4,0,0,0,NA
GSS119197,79,77,43,199,4,50,40,21,111,2,22,26,8,56,0,7,4,3,14,0,65,55,37,150,3,43,27,19,85,2,17,16,6,37,0,3,2,3,8,0,3,0,NA
RD420,77,129,226,432,139,49,70,106,225,46,16,28,28,72,13,1,7,1,9,0,52,78,188,304,114,29,40,91,156,37,9,19,21,49,10,1,4,1,6,0,15,12,NA
UDN317520,77,59,12,148,0,52,37,3,92,0,23,27,0,50,0,1,4,0,5,0,59,46,10,102,0,40,28,2,63,0,18,21,0,37,0,1,3,0,4,0,0,0,NA
RD382,76,60,25,161,3,47,28,17,92,3,25,16,8,49,3,6,6,3,15,0,49,42,20,98,2,31,19,13,56,2,18,9,6,29,2,5,3,2,8,0,0,0,NA
RD393,76,50,27,153,3,48,37,16,101,2,28,25,6,59,2,6,2,4,12,1,50,36,16,92,0,33,26,9,60,0,20,20,3,39,0,4,2,3,9,0,0,0,NA
UDN354231,76,88,27,191,1,50,54,16,120,0,24,28,6,58,0,7,11,0,18,0,51,61,25,124,1,34,38,15,76,0,15,19,5,33,0,3,6,0,9,0,4,0,NA
UDN600230,76,71,13,160,5,41,46,5,92,5,18,23,3,44,5,5,7,1,13,2,54,53,13,109,2,33,34,5,64,2,16,17,3,33,2,4,3,1,6,1,0,0,NA
